"","sample_sums(hfd_12wk_unrare_min2)"
"hfd12wk339",21350
"hfd12wk340",17535
"hfd12wk341",18853
"hfd12wk342",17250
"hfd12wk343",18290
"hfd12wk344",19839
"hfd12wk345",17215
"hfd12wk346",17180
"hfd12wk347",21247
"hfd12wk348",18448
"hfd12wk349",16303
"hfd12wk350",14981
"hfd12wk351",16779
"hfd12wk352",17796
"hfd12wk353",14469
"hfd12wk354",15682
"hfd12wk355",21522
"hfd12wk356",19378
"hfd12wk357",16921
"hfd12wk358",18400
"hfd12wk359",22336
"hfd12wk360",20024
"hfd12wk361",17706
"hfd12wk362",18442
"hfd12wk363",17955
"hfd12wk364",22196
"hfd12wk365",16328
"hfd12wk366",16181
"hfd12wk367",20753
"hfd12wk368",20255
"hfd12wk369",20092
"hfd12wk370",21606
"hfd12wk371",23653
"hfd12wk372",24523
"hfd12wk373",21470
"hfd12wk374",19424
"hfd12wk375",25935
"hfd12wk376",31266
"hfd12wk377",24107
"hfd12wk378",23736
"hfd12wk379",16513
"hfd12wk380",20078
"hfd12wk381",19231
"hfd12wk382",17614
"hfd12wk383",21058
"hfd12wk384",20634
"hfd12wk385",19957
"hfd12wk386",18142
"hfd12wk387",21193
"hfd12wk388",23282
"hfd12wk389",23292
"hfd12wk390",19949
"hfd12wk391",26211
"hfd12wk392",226
"hfd12wk393",22420
"hfd12wk394",21766
"hfd12wk395",19930
"hfd12wk396",23349
"hfd12wk397",21754
"hfd12wk398",18508
"hfd12wk399",20904
"hfd12wk400",20412
"hfd12wk401",20451
"hfd12wk402",19443
"hfd12wk403",18347
"hfd12wk404",21413
"hfd12wk405",20824
"hfd12wk406",22357
"hfd12wk407",23011
"hfd12wk408",21981
"hfd12wk409",21630
"hfd12wk410",21174
"hfd12wk411",25294
"hfd12wk412",25799
"hfd12wk413",26982
"hfd12wk414",22545
"hfd12wk415",29802
"hfd12wk416",30754
"hfd12wk417",25244
"hfd12wk418",31969
"hfd12wk419",26193
"hfd12wk420",19391
"hfd12wk421",23540
"hfd12wk422",19614
"hfd12wk423",28022
"hfd12wk424",21475
"hfd12wk425",23804
"hfd12wk426",23032
"hfd12wk427",22408
"hfd12wk428",24227
"hfd12wk429",23098
"hfd12wk430",19149
"hfd12wk431",25175
"hfd12wk432",20592
"hfd12wk433",19526
"hfd12wk434",20154
"hfd12wk435",24435
"hfd12wk436",24463
"hfd12wk437",23128
"hfd12wk438",19060
"hfd12wk439",23784
"hfd12wk440",25438
"hfd12wk441",23859
"hfd12wk442",25962
"hfd12wk443",17559
"hfd12wk444",17725
"hfd12wk445",18418
"hfd12wk446",16340
"hfd12wk447",19276
"hfd12wk448",20585
"hfd12wk449",19311
"hfd12wk450",19971
"hfd12wk451",25045
"hfd12wk452",21937
"hfd12wk453",24970
"hfd12wk454",15619
"hfd12wk455",23589
"hfd12wk456",19220
"hfd12wk457",20840
"hfd12wk458",19596
"hfd12wk459",23175
"hfd12wk460",24457
"hfd12wk461",22238
"hfd12wk462",22643
"hfd12wk463",24976
"hfd12wk464",19648
"hfd12wk465",17871
"hfd12wk466",18084
"hfd12wk467",17808
"hfd12wk468",18614
"hfd12wk469",16306
"hfd12wk470",13923
"hfd12wk471",17422
"hfd12wk472",16615
"hfd12wk473",14217
"hfd12wk474",17593
"hfd12wk475",20110
"hfd12wk476",20464
"hfd12wk477",18312
"hfd12wk478",15510
"hfd12wk479",20878
"hfd12wk480",20235
"hfd12wk481",20009
"hfd12wk482",19999
"hfd12wk483",19308
"hfd12wk484",19721
"hfd12wk485",21785
"hfd12wk486",16519
"hfd12wk487",22784
"hfd12wk488",8273
"hfd12wk489",17833
"hfd12wk490",17845
"hfd12wk491",18699
"hfd12wk492",16791
"hfd12wk493",16720
"hfd12wk494",13006
"hfd12wk495",17352
"hfd12wk496",18289
"hfd12wk497",16740
"hfd12wk498",17112
"hfd12wk499",23466
"hfd12wk500",21974
"hfd12wk501",22171
"hfd12wk502",20831
"hfd12wk503",22430
"hfd12wk504",21821
"hfd12wk505",21239
"hfd12wk506",20473
"hfd12wk507",19309
"hfd12wk508",20837
"hfd12wk509",24967
"hfd12wk510",20670
"hfd12wk511",25788
"hfd12wk512",24935
"hfd12wk513",23377
"hfd12wk514",19948
"hfd12wk515",22406
"hfd12wk516",23691
"hfd12wk517",22606
"hfd12wk518",19881
"hfd12wk519",26527
"hfd12wk520",22753
"hfd12wk521",21032
"hfd12wk522",19839
"hfd12wk523",18369
"hfd12wk524",18376
"hfd12wk525",18723
"hfd12wk526",20193
"hfd12wk527",26257
"hfd12wk528",27481
"hfd12wk529",21454
"hfd12wk530",21378
"hfd12wk531",26824
"hfd12wk532",22094
"hfd12wk533",21766
"hfd12wk534",18964
"hfd12wk535",22159
"hfd12wk536",20840
"hfd12wk537",21531
"hfd12wk538",17446
"hfd12wk539",18819
"hfd12wk540",16589
"hfd12wk541",20441
"hfd12wk542",16324
"hfd12wk543",16884
"hfd12wk544",16973
"hfd12wk545",14288
"hfd12wk546",18943
"hfd12wk547",19944
"hfd12wk548",18805
"hfd12wk549",21831
"hfd12wk550",20384
"hfd12wk551",18566
"hfd12wk552",21530
"hfd12wk553",22579
"hfd12wk554",20283
"hfd12wk555",20746
"hfd12wk556",23404
"hfd12wk557",21753
"hfd12wk558",21464
"hfd12wk559",17320
"hfd12wk560",19686
"hfd12wk561",17544
"hfd12wk562",19196
"hfd12wk563",19169
"hfd12wk564",21997
"hfd12wk565",18835
"hfd12wk566",19942
"hfd12wk567",17823
"hfd12wk568",20606
"hfd12wk569",17649
"hfd12wk570",21253
"hfd12wk571",20533
"hfd12wk572",23230
"hfd12wk573",21452
"hfd12wk574",21203
"hfd12wk575",19885
"hfd12wk576",21647
"hfd12wk577",19368
"hfd12wk578",19146
"hfd12wk579",22353
"hfd12wk580",19843
"hfd12wk581",19116
"hfd12wk582",17269
"hfd12wk583",23778
