"","Bac_OTU","Domain","Phylum","Class","Order","Family","Genus","Bac_Genus_Mean"
"1","OTU1","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",16.7669491092501
"29","OTU19","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae",15.0872359337804
"33","OTU2","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","uncl_Erysipelotrichaceae",9.68688378872659
"100","OTU4","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus",6.47760439193676
"10","OTU12","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","uncl_Bacteroidales","uncl_Bacteroidales",6.28101277462376
"15","OTU15","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","uncl_Muribaculaceae",5.90651808915332
"150","OTU8","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Ileibacterium",3.66827697536687
"2","OTU10","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",3.48475457124467
"34","OTU20","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalibaculum",2.91332770264517
"123","OTU49","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","uncl_Oscillospiraceae",2.84700250997006
"73","OTU3","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus",2.50383987957593
"47","OTU23","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","uncl_Prevotellaceae",1.9022729362563
"17","OTU16","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides",1.66540941119576
"124","OTU5","Bacteria","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia",1.64761484730732
"158","OTU9","Bacteria","Mycoplasmatota","Mollicutes","uncl_Mollicutes","uncl_Mollicutes","uncl_Mollicutes",1.13029537273226
"128","OTU53","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum",0.903095402702049
"82","OTU34","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",0.900413446900681
"54","OTU25","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Sutterellaceae","uncl_Sutterellaceae",0.872997898708915
"62","OTU27","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillales_Incertae Sedis XI","Gemella",0.86218493404943
"139","OTU63","Bacteria","Bacteroidota","uncl_Bacteroidota","uncl_Bacteroidota","uncl_Bacteroidota","uncl_Bacteroidota",0.849796852490728
"11","OTU127","Bacteria","Bacillota","uncl_Bacillota","uncl_Bacillota","uncl_Bacillota","uncl_Bacillota",0.8270215135426
"142","OTU66","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella",0.824126704106202
"137","OTU61","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Flintibacter",0.800883087161009
"12","OTU13","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae 1","uncl_Clostridiaceae 1",0.797009151003477
"59","OTU26","Bacteria","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Romboutsia",0.681387056455595
"26","OTU18","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Paramuribaculum",0.632217866763841
"135","OTU60","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter",0.603269772399865
"109","OTU43","Bacteria","Pseudomonadota","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio",0.564658123005562
"67","OTU28","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Dorea",0.510806153343164
"144","OTU69","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Vescimonas",0.481006644439071
"103","OTU41","Bacteria","Pseudomonadota","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","uncl_Desulfovibrionaceae",0.476323864468428
"118","OTU47","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter",0.475429879201305
"155","OTU86","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Lawsonibacter",0.448099472463551
"51","OTU24","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",0.397482878053598
"88","OTU36","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae 1","Clostridium sensu stricto",0.381306001791376
"156","OTU87","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","uncl_Enterobacteriaceae",0.374579826924452
"14","OTU142","Bacteria","Bacillota","Clostridia","uncl_Clostridia","uncl_Clostridia","uncl_Clostridia",0.352485619608417
"160","OTU93","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerotignum",0.336095889711166
"146","OTU73","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Oscillibacter",0.315406516386324
"130","OTU55","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",0.291609479990055
"163","OTU99","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Schaedlerella",0.278710549707284
"161","OTU97","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus",0.248996182257202
"149","OTU77","Bacteria","Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia",0.222432048605553
"152","OTU81","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Acetatifactor",0.212385357032173
"39","OTU213","Bacteria","Bacillota","Clostridia","Eubacteriales","uncl_Eubacteriales","uncl_Eubacteriales",0.186459784285612
"21","OTU167","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","uncl_Erysipelotrichales","uncl_Erysipelotrichales",0.186417213558606
"132","OTU57","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella",0.139078565128104
"4","OTU102","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Dubosiella",0.137162882412841
"16","OTU156","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Laedolimicola",0.129840717367835
"22","OTU173","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",0.103532008078221
"9","OTU118","Bacteria","Pseudomonadota","Deltaproteobacteria","Desulfovibrionales","uncl_Desulfovibrionales","uncl_Desulfovibrionales",0.102042032633016
"28","OTU188","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","uncl_Rhodospirillales","uncl_Rhodospirillales",0.0628769637876368
"61","OTU268","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",0.0597693007162099
"147","OTU74","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae","Thomasclavelia",0.0492543311457656
"153","OTU83","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella",0.0489137653297188
"44","OTU224","Bacteria","Candidatus Saccharibacteria","uncl_Candidatus Saccharibacteria","uncl_Candidatus Saccharibacteria","uncl_Candidatus Saccharibacteria","Saccharibacteria_genera_incertae_sedis",0.0475089313385258
"52","OTU241","Bacteria","Pseudomonadota","Alphaproteobacteria","uncl_Alphaproteobacteria","uncl_Alphaproteobacteria","uncl_Alphaproteobacteria",0.0457209608042802
"38","OTU210","Bacteria","Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","uncl_Eggerthellaceae",0.043549853726982
"63","OTU275","Bacteria","Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus",0.0431241464569235
"48","OTU233","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae","Bacillus",0.0386116493943037
"40","OTU217","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium",0.0385690786672978
"154","OTU85","Bacteria","Bacillota","Bacilli","Caryophanales","Staphylococcaceae","Staphylococcus",0.0379305177622101
"43","OTU220","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella",0.0375048104921517
"27","OTU180","Bacteria","Bacillota","Erysipelotrichia","uncl_Erysipelotrichia","uncl_Erysipelotrichia","uncl_Erysipelotrichia",0.0286926700019412
"25","OTU177","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia",0.0252444411144676
"31","OTU195","Bacteria","Mycoplasmatota","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Anaeroplasma",0.0251592996604559
"65","OTU279","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium",0.024009890031298
"69","OTU288","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus",0.0237118949422571
"125","OTU5009","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",0.0236267534882454
"64","OTU276","Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",0.0211576513219062
"36","OTU2053","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Neglecta",0.0203062367817893
"60","OTU260","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruthenibacterium",0.02009338314676
"80","OTU323","Bacteria","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Veillonella",0.0193696807876606
"70","OTU292","Bacteria","Bacillota","Clostridia","Eubacteriales","Eubacteriales_incertae_sedis_XIII","uncl_Eubacteriales_incertae_sedis_XIII",0.0174965687994033
"57","OTU255","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Fumia",0.0168154371673098
"75","OTU303","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",0.0146443300900115
"133","OTU58","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Turicibacteraceae","Turicibacter",0.0144314764549823
"110","OTU431","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium",0.0141334813659414
"107","OTU416","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcus",0.0137077740958829
"95","OTU377","Bacteria","Pseudomonadota","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",0.0136652033688771
"76","OTU310","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Dermabacteraceae","Brachybacterium",0.0121326571966665
"68","OTU2814","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Sporofaciens",0.0119198035616373
"37","OTU207","Bacteria","Bacillota","Clostridia","Eubacteriales","Eubacteriales_incertae_sedis_XIII","Ihubacter",0.0116643791996022
"86","OTU349","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Micrococcaceae","Rothia",0.011451525564573
"96","OTU381","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Sutterellaceae","Turicimonas",0.011451525564573
"91","OTU367","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium",0.0110258182945145
"74","OTU301","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas",0.0107703939324794
"87","OTU356","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae","Priestia",0.010600111024456
"105","OTU412","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium",0.00928041848727476
"101","OTU400","Bacteria","Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","uncl_Pasteurellaceae",0.00906756485224552
"81","OTU324","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Dietziaceae","Dietzia",0.00889728194422213
"111","OTU432","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Paracoccus",0.00864185758218704
"97","OTU394","Bacteria","Pseudomonadota","uncl_Pseudomonadota","uncl_Pseudomonadota","uncl_Pseudomonadota","uncl_Pseudomonadota",0.00800329667709933
"89","OTU3620","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Micrococcaceae","uncl_Micrococcaceae",0.00685388704794145
"117","OTU465","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas",0.0068113163209356
"83","OTU3412","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acutalibacter",0.00604504323483035
"112","OTU443","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",0.00544905305674848
"108","OTU423","Bacteria","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Clostridioides",0.00455506778962568
"58","OTU256","Bacteria","Bacillota","Bacilli","Caryophanales","Listeriaceae","Listeria",0.00451249706261984
"143","OTU672","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Rhizobium",0.00434221415459645
"24","OTU1742","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","uncl_Burkholderiaceae",0.00395907761154382
"131","OTU553","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae","Neobacillus",0.00378879470352043
"134","OTU593","Bacteria","Bacillota","Bacilli","Lactobacillales","Leuconostocaceae","Weissella",0.00370365324950873
"157","OTU871","Bacteria","Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Rodentibacter",0.00366108252250289
"119","OTU4711","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae","uncl_Bacillaceae",0.00357594106849119
"129","OTU530","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Phyllobacteriaceae","uncl_Phyllobacteriaceae",0.00293738016340348
"99","OTU398","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",0.00280966798238594
"122","OTU487","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Intrasporangiaceae","Arsenicicoccus",0.00263938507436255
"104","OTU410","Bacteria","Pseudomonadota","Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria",0.00234138998532161
"138","OTU629","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter",0.00225624853130992
"85","OTU347","Bacteria","Bacillota","Clostridia","Eubacteriales","Christensenellaceae","uncl_Christensenellaceae",0.00212853635029238
"159","OTU919","Bacteria","Bacteroidota","Bacteroidia","uncl_Bacteroidia","uncl_Bacteroidia","uncl_Bacteroidia",0.00191568271526314
"151","OTU800","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Brucellaceae","Brucella",0.00187311198825729
"113","OTU448","Bacteria","Bacillota","Clostridia","Eubacteriales","Christensenellaceae","Guopingia",0.0017028290802339
"127","OTU515","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia",0.00161768762622221
"141","OTU657","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum",0.00161768762622221
"78","OTU3138","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","uncl_Micrococcales","uncl_Micrococcales",0.00140483399119297
"126","OTU509","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia",0.00136226326418712
"140","OTU643","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Mycobacteriaceae","Mycobacterium",0.00136226326418712
"19","OTU1668","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae","uncl_Alcaligenaceae",0.00123455108316958
"148","OTU743","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","uncl_Solirubrobacterales","uncl_Solirubrobacterales",0.00110683890215204
"136","OTU604","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospira",0.00106426817514619
"45","OTU2283","Bacteria","Bacillota","Bacilli","Caryophanales","Paenibacillaceae","Paenibacillus",0.00102169744814034
"7","OTU1150","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Hyphomicrobium",0.000808843813111103
"5","OTU1072","Bacteria","Bacillota","Clostridia","Eubacteriales","Peptoniphilaceae","Anaerococcus",0.00051084872407017
"20","OTU1669","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Novosphingobium",0.00051084872407017
"72","OTU2997","Bacteria","Actinomycetota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Saccharopolyspora",0.00051084872407017
"79","OTU315","Bacteria","Actinomycetota","Coriobacteriia","Eggerthellales","uncl_Eggerthellales","uncl_Eggerthellales",0.000468277997064323
"93","OTU3728","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Devosia",0.000468277997064323
"42","OTU2194","Bacteria","Pseudomonadota","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas",0.000425707270058475
"162","OTU989","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Rhodopseudomonas",0.000425707270058475
"8","OTU1174","Bacteria","Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus",0.000383136543052628
"56","OTU2548","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",0.00034056581604678
"145","OTU726","Bacteria","Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria",0.00034056581604678
"53","OTU246","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Longibaculum",0.000297995089040933
"55","OTU2507","Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium",0.000297995089040933
"116","OTU4624","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter",0.000297995089040933
"3","OTU1009","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lapidilactobacillus",0.000212853635029238
"13","OTU1388","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","uncl_Sphingomonadaceae",0.000212853635029238
"32","OTU1973","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",0.000212853635029238
"41","OTU2180","Bacteria","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Alloiococcus",0.000212853635029238
"71","OTU2933","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella",0.000212853635029238
"90","OTU3664","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Aurantimonadaceae","Aureimonas",0.000212853635029238
"94","OTU3749","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Boseaceae","Bosea",0.000212853635029238
"114","OTU4504","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillales_Incertae Sedis X","Thermicanus",0.000212853635029238
"18","OTU1665","Bacteria","Bacillota","Bacilli","Caryophanales","Caryophanaceae","Sporosarcina",0.00017028290802339
"23","OTU1736","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Gardnerella",0.00017028290802339
"66","OTU2798","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Lawsonellaceae","Lawsonella",0.00017028290802339
"77","OTU3105","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Phyllobacteriaceae","Nitratireductor",0.00017028290802339
"92","OTU3673","Bacteria","Pseudomonadota","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas",0.00017028290802339
"98","OTU3966","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",0.00017028290802339
"6","OTU1124","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Aquabacterium",0.000127712181017543
"35","OTU2052","Bacteria","Actinomycetota","Coriobacteriia","uncl_Coriobacteriia","uncl_Coriobacteriia","uncl_Coriobacteriia",0.000127712181017543
"49","OTU2342","Bacteria","Actinomycetota","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria",0.000127712181017543
"50","OTU2357","Bacteria","Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus",0.000127712181017543
"84","OTU3451","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",0.000127712181017543
"106","OTU4150","Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales","uncl_Longimicrobiales","uncl_Longimicrobiales",0.000127712181017543
"30","OTU1926","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae","Rathayibacter",8.5141454011695e-05
"46","OTU2284","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Methylorubrum",8.5141454011695e-05
"102","OTU4057","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Roseateles",8.5141454011695e-05
"115","OTU4523","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae","Leucobacter",8.5141454011695e-05
"120","OTU4730","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter",8.5141454011695e-05
"121","OTU4778","Bacteria","Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia",8.5141454011695e-05
